,PRODUCTS,RATINGS,PRICES
126,"Apple iPhone 7 Plus (Gold, 32 GB)",4.5,32999
127,"Apple iPhone 8 (Silver, 64 GB)",4.5,36999
128,"Apple iPhone 11 (White, 128 GB)",4.7,69900
129,"Apple iPhone 11 (Black, 128 GB)",4.7,69900
130,"Apple iPhone 8 (Space Grey, 64 GB)",4.5,36999
131,"Apple iPhone 11 (White, 64 GB)",4.7,64900
132,Tough Lee Tempered Glass Guard for Apple iPhone 7 Plus,3.8,149
133,TECHSHIELD Edge To Edge Tempered Glass for Apple iPhone...,4.1,348
134,"Apple iPhone 11 (Black, 64 GB)",4.7,64900
135,"Apple iPhone 11 (Purple, 128 GB)",4.7,69900
136,"Apple iPhone XR (Blue, 64 GB)",4.6,49900
137,"Apple iPhone 11 (Green, 64 GB)",4.7,64900
138,"Apple iPhone 11 (Green, 128 GB)",4.7,69900
139,Techshield Edge To Edge Tempered Glass for iPhone 11,4.6,488
140,"Apple iPhone XR (Black, 128 GB)",4.6,54900
141,"Apple iPhone 11 (Purple, 64 GB)",4.7,64900
142,"Apple iPhone XR (White, 64 GB)",4.6,49900
143,Techshield Edge To Edge Tempered Glass for iPhone 11 pr...,4.3,288
144,"Apple iPhone XR (Coral, 64 GB)",4.6,49900
145,"Apple iPhone 11 (Red, 64 GB)",4.7,64900
146,"iKare Impossible Screen Guard for Apple iPhone 6, Apple...",3.8,199
147,"Apple iPhone XR (Blue, 128 GB)",4.6,54900
148,"Apple iPhone XR (Coral, 128 GB)",4.6,54900
149,Jabox Edge To Edge Tempered Glass for Apple iPhone 7,0,249
150,"Apple iPhone 11 (Red, 128 GB)",4.7,69900
151,"Apple iPhone XR (White, 128 GB)",4.6,59999
152,"Apple iPhone 11 Pro Max (Gold, 64 GB)",4.7,109900
153,RhinoShield Screen Guard for Apple iPhone 11 Pro,0,1299
154,"Apple iPhone XR ((PRODUCT)RED, 64 GB)",4.6,49900
155,"Apple iPhone XR (Black, 64 GB)",4.6,49900
156,"Apple iPhone X (Silver, 64 GB)",4.6,69999
157,"Apple iPhone 8 (Gold, 64 GB)",4.5,36999
158,"Apple iPhone XS Max (Space Grey, 512 GB)",4.6,109900
159,"Sprig Tempered Glass Guard for Apple iPhone XS, Apple i...",0,399
160,"Apple iPhone 7 (Black, 32 GB)",4.5,24999
161,"Apple iPhone XS (Gold, 64 GB)",4.7,52999
162,"Apple iPhone XS (Space Grey, 64 GB)",4.7,52999
163,"Apple iPhone 7 Plus (Black, 32 GB)",4.5,32999
164,"Apple iPhone XS (Silver, 64 GB)",4.7,52999
165,"Apple iPhone 7 Plus (Rose Gold, 32 GB)",4.5,32999
166,"Apple iPhone 7 Plus (Gold, 32 GB)",4.5,32999
167,"Apple iPhone 8 (Silver, 64 GB)",4.5,36999
168,"Apple iPhone 11 (White, 128 GB)",4.7,69900
169,"Apple iPhone 11 (Black, 128 GB)",4.7,69900
170,"Apple iPhone 8 (Space Grey, 64 GB)",4.5,36999
171,"Apple iPhone 11 (White, 64 GB)",4.7,64900
172,Tough Lee Tempered Glass Guard for Apple iPhone 7 Plus,3.8,149
173,TECHSHIELD Edge To Edge Tempered Glass for Apple iPhone...,4.1,348
174,"Apple iPhone 11 (Black, 64 GB)",4.7,64900
175,"Apple iPhone 11 (Purple, 128 GB)",4.7,69900
176,"Apple iPhone XR (Blue, 64 GB)",4.6,49900
177,"Apple iPhone 11 (Green, 64 GB)",4.7,64900
178,"Apple iPhone 11 (Green, 128 GB)",4.7,69900
179,Techshield Edge To Edge Tempered Glass for iPhone 11,4.6,488
180,"Apple iPhone XR (Black, 128 GB)",4.6,54900
181,"Apple iPhone 11 (Purple, 64 GB)",4.7,64900
182,"Apple iPhone XR (White, 64 GB)",4.6,49900
183,Techshield Edge To Edge Tempered Glass for iPhone 11 pr...,4.3,288
184,"Apple iPhone XR (Coral, 64 GB)",4.6,49900
185,"Apple iPhone 11 (Red, 64 GB)",4.7,64900
186,"iKare Impossible Screen Guard for Apple iPhone 6, Apple...",3.8,199
187,"Apple iPhone XR (Blue, 128 GB)",4.6,54900
188,"Apple iPhone XR (Coral, 128 GB)",4.6,54900
189,Jabox Edge To Edge Tempered Glass for Apple iPhone 7,0,249
190,"Apple iPhone 11 (Red, 128 GB)",4.7,69900
191,"Apple iPhone XR (White, 128 GB)",4.6,59999
192,"Apple iPhone 11 Pro Max (Gold, 64 GB)",4.7,109900
193,RhinoShield Screen Guard for Apple iPhone 11 Pro,0,1299
194,"Apple iPhone XR ((PRODUCT)RED, 64 GB)",4.6,49900
195,"Apple iPhone XR (Black, 64 GB)",4.6,49900
196,"Apple iPhone X (Silver, 64 GB)",4.6,69999
197,"Apple iPhone 8 (Gold, 64 GB)",4.5,36999
198,"Apple iPhone XS Max (Space Grey, 512 GB)",4.6,109900
199,"Sprig Tempered Glass Guard for Apple iPhone XS, Apple i...",0,399
200,"Apple iPhone 7 (Black, 32 GB)",4.5,24999
201,"Apple iPhone XS (Gold, 64 GB)",4.7,52999
202,"Apple iPhone XS (Space Grey, 64 GB)",4.7,52999
203,"Apple iPhone 7 Plus (Black, 32 GB)",4.5,32999
204,"Apple iPhone XS (Silver, 64 GB)",4.7,52999
205,"Apple iPhone 7 Plus (Rose Gold, 32 GB)",4.5,32999
206,"Apple iPhone 7 Plus (Gold, 32 GB)",4.5,32999
207,"Apple iPhone 8 (Silver, 64 GB)",4.5,36999
208,"Apple iPhone 11 (White, 128 GB)",4.7,69900
209,"Apple iPhone 11 (Black, 128 GB)",4.7,69900
210,"Apple iPhone 8 (Space Grey, 64 GB)",4.5,36999
211,"Apple iPhone 11 (White, 64 GB)",4.7,64900
212,Tough Lee Tempered Glass Guard for Apple iPhone 7 Plus,3.8,149
213,"Apple iPhone 11 (Black, 64 GB)",4.7,64900
214,"Apple iPhone 11 (Purple, 128 GB)",4.7,69900
215,"Apple iPhone XR (Blue, 64 GB)",4.6,49900
216,"Apple iPhone 11 (Green, 64 GB)",4.7,64900
217,"Apple iPhone 11 (Green, 128 GB)",4.7,69900
218,"Apple iPhone XR (Black, 128 GB)",4.6,54900
219,"Apple iPhone 11 (Purple, 64 GB)",4.7,64900
220,"Apple iPhone XR (White, 64 GB)",4.6,49900
221,"Apple iPhone XR (Coral, 64 GB)",4.6,49900
222,"Apple iPhone 11 (Red, 64 GB)",4.7,64900
223,"iKare Impossible Screen Guard for Apple iPhone 6, Apple...",3.8,199
224,"Apple iPhone XR (Blue, 128 GB)",4.6,54900
225,"Apple iPhone XR (Coral, 128 GB)",4.6,54900
226,"Apple iPhone 11 (Red, 128 GB)",4.7,69900
227,"Apple iPhone XR (White, 128 GB)",4.6,59999
228,"Apple iPhone 11 Pro Max (Gold, 64 GB)",4.7,109900
